GainOrLossGrp_1_SecuritiesAmt,GrossAmountSalesAssetsGrp_1_SecuritiesAmt,IncmFromInvestBondProceedsGrp_1_TotalRevenueColumnAmt,InvestmentIncomeGrp_1_TotalRevenueColumnAmt,LessCostOthBasisSalesExpnssGrp_1_SecuritiesAmt,MiscellaneousRevenueGrp_1_TotalRevenueColumnAmt,NetGainOrLossInvestmentsGrp_1_TotalRevenueColumnAmt,NetIncmFromFundraisingEvtGrp_1_TotalRevenueColumnAmt,NetIncomeFromGamingGrp_1_TotalRevenueColumnAmt,NetRentalIncomeOrLossGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_1_Desc,OtherRevenueMiscGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_2_Desc,OtherRevenueMiscGrp_2_TotalRevenueColumnAmt,OtherRevenueMiscGrp_3_Desc,OtherRevenueMiscGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_1_Desc,ProgramServiceRevenueGrp_1_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_2_Desc,ProgramServiceRevenueGrp_2_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_3_Desc,ProgramServiceRevenueGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_4_Desc,ProgramServiceRevenueGrp_4_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_5_Desc,ProgramServiceRevenueGrp_5_TotalRevenueColumnAmt,RentalIncomeOrLossGrp_1_PersonalAmt,RentalIncomeOrLossGrp_1_RealAmt,RoyaltiesRevenueGrp_1_TotalRevenueColumnAmt,business_name,cost_of_goods_sold,ein,fundraising_amt,fundraising_direct_expenses,fundraising_gross_income,government_grants,gross_sales_of_inventory,membership_dues,non_cash_contributions,other_contributions,other_revenue_total,tax_period_begin,tax_period_end,total_contributions,total_program_service_revenue,total_revenue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,657124,CONCESSION & EQUIPMENT,29583,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,148352,,,,,,,596233,,2022-01-01,2022-12-31,596233,686707,1282940
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,265796,0,0,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,64277,,,,,,,839303,,2021-01-01,2021-12-31,839303,265796,1105099
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,92743,CONCESSION & EQUIPMENT,8932,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,65469,,,,,,,744946,,2020-01-01,2020-12-31,744946,101675,846621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,878927,CONCESSION & EQUIPMENT,96419,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,98248,,,,,,,244099,,2019-01-01,2019-12-31,244099,975346,1219445
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,719477,CONCESSION & EQUIPMENT,66613,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,74915,,,,,,,173367,,2018-01-01,2018-12-31,173367,786090,959457
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,208418,CONCESSION & EQUIPMENT,84919,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,77330,,,,,,,541403,,2017-01-01,2017-12-31,541403,293337,834740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,214720,CONCESSION & EQUIPMENT,88628,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,79826,,,,,,,425172,,2016-01-01,2016-12-31,425172,303348,728520
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TICKET SALES,166172,CONCESSION & EQUIPMENT,96436,0,0,0,0,0,0,0,0,0,WINDY CITY PLAYHOUSE,,464868354,37260,,,,,,,408182,,2015-01-01,2015-12-31,408182,262608,670790
0,0,0,2873,0,0,0,0,0,0,0,0,0,0,0,0,"RENTAL COSTUMES, PROPS, SETS",429016,PERFORMANCE REVENUE,177675,0,0,0,0,0,0,0,0,0,BROADWAY OC INC,,453628815,0,,,25000,,,,11618,,2023-01-01,2023-12-31,36618,606691,646182
0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,PERFORMANCE REVENUE,465290,"RENTAL - COSTUMES, PROPS",211081,0,0,0,0,0,0,0,0,0,BROADWAY OC INC,,453628815,0,,,1116566,,,,22191,,2022-01-01,2022-12-31,1138757,676371,1815278
