bond_proceeds,business_name,compensation_from_other_srcs,contrct_rcvd_greater_than_100k,ein,exclusion_amount,executive_compensation,formation_year,fundraising_expenses,group_return_for_affiliates,indiv_rcvd_greater_than_100k,investment_income,management_and_general_expenses,net_assets_boy,net_assets_eoy,net_fundraising,net_inventory_sales,operating_margin,other_compensations,other_revenue,other_salaries_and_wages,professional_fundraising_fees,program_efficiency,program_service_revenue,program_services_expenses,related_or_exempt_func_income,rental_property_income,royalties,sales_of_assets,tax_period_begin,tax_period_end,tot_reportable_comp_rltd_org,total_assets_boy,total_assets_eoy,total_comp_greater_than_150k,total_contributions,total_employees,total_expenses,total_gross_ubi,total_liabilities_boy,total_liabilities_eoy,total_revenue,total_volunteers,unrelated_business_revenue,voting_members_governing_body,voting_members_independent,website
,YOUNG AUDIENCES OF OREGON INC,0,0,930521848,-30419,81846,1958,231575,0,0,14253,100161,1118878,722561,-44672,,-0.2725463456768219,0,,594311,,0.8207262689386979,649229,1518708,649229,,,,2022-07-01,2023-06-30,0,1184019,832980,0,835317,28,1850444,0,65141,110419,1454127,15,0,10,10,WWW.YA-OR.ORG
,YOUNG AUDIENCES OF OREGON INC,false,,930521848,-87201,51596,1958,200965,false,,5080,128648,1078866,1118878,-92289,,0.025850384086107646,,,,,0.781397356975444,400344,1178205,400344,,,8,2021-07-01,2022-06-30,,1248855,1184019,false,1234687,30,1507818,0,169989,65141,1547830,15,,12,12,www.ya-or.org
,YOUNG AUDIENCES OF OREGON INC,false,,930521848,-43417,63312,1958,259064,false,,4838,87129,1296766,1078866,-48526,,-0.20741575579198265,2266,,495363,,0.7270733424415841,27865,922254,27865,,,271,2020-07-01,2021-06-30,,1454179,1248855,false,1066099,18,1268447,0,157413,169989,1050547,20,,13,13,www.ya-or.org
,YOUNG AUDIENCES OF OREGON INC,false,,930521848,-35192,71399,1958,189329,false,,7761,101256,871763,1296766,-42953,,0.22138328677371819,4111,,424407,,0.8055972940101341,741674,1204173,741674,,,,2019-07-01,2020-06-30,,950982,1454179,false,1213279,21,1494758,0,79219,157413,1919761,45,,13,13,www.ya-or.org
,YOUNG AUDIENCES OF OREGON INC,false,,930521848,-35097,69173,1958,175794,false,,6691,86239,700607,871763,-41788,,0.08771158428780075,5326,,375356,,0.8528064918767281,769935,1518161,769935,,,,2018-07-01,2019-06-30,,751188,950982,false,1216512,17,1780194,0,50581,79219,1951350,86,,15,15,www.ya-or.org
,YOUNG AUDIENCES OF OREGON INC,0,0,930521848,-29580,68147,1958,194728,0,0,866,81820,676129,688661,-30446,,0.006319022921332905,4791,,409336,,0.8596691710399322,922587,1694138,922587,,,,2016-07-01,2017-06-30,0,704032,741016,0,1090211,27,1970686,0,27903,52355,1983218,92,0,12,12,WWW.YA-OR.ORG
,YOUNG AUDIENCES OF OREGON INC,0,0,930521848,19564,68145,1958,207045,0,0,1122,92986,405460,676129,18442,,0.12654429066536632,4500,,389915,,0.8394060135163345,906562,1568227,906562,,,,2015-07-01,2016-06-30,0,460240,704032,0,1212801,29,1868258,0,54780,27903,2138927,150,0,12,12,WWW.YA-OR.ORG
,YOUNG AUDIENCES OF OREGON INC,0,0,930521848,-1441,63765,1958,210423,0,0,451,48826,354059,405460,-1892,,0.028144528651284577,3853,,363943,,0.8539378068444697,733808,1515673,733808,,,,2014-07-01,2015-06-30,0,380210,460240,0,1093956,21,1774922,0,26151,54780,1826323,150,0,12,12,WWW.YA-OR.ORG
,,0,0,930521848,61324,70813,1958,209843,0,0,509,134649,396419,354059,60815,,-0.02630872883377057,3185,,353871,,0.791529296714256,681962,1307980,681962,,,,2013-07-01,2014-06-30,0,428931,380210,0,866826,17,1652472,0,32512,26151,1610112,137,0,9,9,WWW.YA-OR.ORG
,,,,930521848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,166636,259990,1964,171303,false,2,220207,599062,12198308,12573171,-53571,,-0.0611375383235426,,167131,1985199,,0.8430123356256938,2125141,4136804,2373445,81173,,,2023-01-01,2023-12-31,,12926853,15407288,false,2084361,249,4907169,0,728545,2834117,4624442,150,,47,47,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,-10102,253000,1964,166819,false,2,19104,587959,12011093,12198308,-29206,,0.190927319902483,,259822,1907549,,0.8338697653309022,1730735,3788513,1990557,,,,2022-01-01,2022-12-31,,13499880,12926853,false,3634975,270,4543291,0,1488787,728545,5615430,150,,38,38,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,98445,229625,1964,93627,false,1,2160,463025,9781820,12011093,96285,,0.3244371637200245,,179416,1090385,,0.7955441155189044,980351,2165950,1159767,,,,2021-01-01,2021-12-31,,10980105,13499880,false,2771912,157,2722602,0,1198285,1488787,4030124,150,,35,35,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,18314,216333,1964,88268,false,1,1864,433012,9584029,9781820,16450,,-0.16732104755424404,,99453,1015802,,0.801659986591655,674232,2106934,773685,,,,2020-01-01,2020-12-31,,10573058,10980105,false,1459493,137,2628214,0,989029,1198285,2251492,150,,37,37,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,124324,224000,1964,179636,false,1,5872,472566,9380279,9584029,118452,,-0.12969241373706794,,346707,2089014,,0.8704180029810523,2627597,4380920,2974304,,,,2019-01-01,2019-12-31,,10402227,10573058,false,1356675,302,5033122,0,1021948,989029,4455303,300,,37,37,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,179157,224305,1964,214332,false,1,5110,494740,9877620,9380279,174047,,-0.05270327173137671,,336166,1891102,,0.8485698134394418,2542583,3973429,2878749,,,,2018-01-01,2018-12-31,,10934401,10402227,false,1390167,283,4682501,0,1056781,1021948,4448073,300,,29,29,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,160334,87997,1964,213291,false,,2597,465198,9564742,9877620,157737,,-0.08884026535793463,,274139,1903474,,0.8536133703538212,2406875,3956422,2681014,,,,2017-01-01,2017-12-31,,10707192,10934401,false,1415393,281,4634911,0,1142450,1056781,4256741,300,,35,35,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,173769,94320,1964,227278,false,,1920,452638,9589368,9564742,171849,,-0.07241444717377393,,170739,1815383,,0.8502387335327607,2475417,3860083,2646156,,,,2016-01-01,2016-12-31,,10782688,10707192,false,1413512,268,4539999,0,1193320,1142450,4233437,300,,37,37,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,1358,87016,1964,215019,false,,1358,393119,9967100,9589368,134476,,-0.08907790366535015,,36760,1616531,,0.8683170932397904,2535394,4010062,2572154,,,,2015-01-01,2015-12-31,,11051281,10782688,false,1532480,249,4618200,0,1084181,1193320,4240468,300,,41,41,WWW.LYRICTHEATREOKC.COM
,LYRIC THEATRE OF OKLAHOMA INC,false,,731001687,1242,76500,1964,246368,false,,1242,372389,9851781,9967100,207756,,0.026109570127965626,,425730,1666913,,0.8561503263810458,2319087,3682657,2744817,,,,2014-01-01,2014-12-31,,10597250,11051281,false,1462918,229,4301414,0,745469,1084181,4416733,300,,41,41,WWW.LYRICTHEATREOKC.COM
,,false,,731001687,1169,76084,1964,123487,false,,1169,448542,9772792,9851781,151623,,0.018622581114403132,,678058,1573689,,0.862578322781389,2021904,3590553,2699962,,,,2013-01-01,2013-12-31,,10836664,10597250,false,1388817,247,4162582,0,1063872,745469,4241571,300,,49,47,WWW.LYRICTHEATREOKC.COM
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,-14397,31113,1976,63655,false,,,285542,242826,46579,-14397,,-0.23666729110963516,3632,,645601,15704,0.6794116620977234,355165,740041,355165,,,,2022-08-01,2023-07-31,,462068,336347,false,540017,19,1089238,0,219242,289768,880785,300,,11,11,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,,74090,1976,117820,false,,54,300610,546247,242826,,,-0.38962017871978694,9683,1605,579005,,0.6133459991018146,317979,663752,319638,,,,2021-08-01,2022-07-31,,772604,462068,false,459123,26,1082182,0,226357,219242,778761,300,,11,11,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,-937,140861,1976,117021,false,,85,129383,398069,546247,,,0.13099279344266931,13000,,504186,,0.7493382596789059,318043,736610,318043,,,,2020-08-01,2021-07-31,,670039,772604,false,814086,25,983014,0,271970,226357,1131192,300,,16,16,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,19316,139932,1976,136318,false,,88,149138,332287,398069,5588,,0.05568648564453158,13139,,510374,,0.7441026974209106,471827,830054,471827,,,,2019-08-01,2020-07-31,,370590,670039,false,690149,26,1115510,0,38303,271970,1181292,337,,17,17,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,20246,133121,1976,116959,false,,128,136951,237318,332287,7003,,0.07221922266750823,16528,,536625,,0.7918840432411698,654863,966131,654863,,,,2018-08-01,2019-07-31,,291047,370590,false,639901,22,1220041,0,53729,38303,1315010,450,,11,11,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,19731,135599,1976,128358,false,,39,129626,342628,237318,5657,,-0.09752009482535097,15772,,542630,,0.7823268842970326,600555,927206,600555,,,,2017-08-01,2018-07-31,,388191,291047,false,459594,20,1185190,0,45563,53729,1079880,450,,12,12,WWW.COMMONWEALTHTHEATRE.ORG
,COMMONWEALTH THEATRE CENTER INC,false,,610902722,17754,119452,1976,120269,false,,98,127887,383511,342628,4356,,-0.03800513701017827,15042,,457145,,0.7777586722621945,578520,868450,578520,,,,2016-08-01,2017-07-31,,431613,388191,false,479449,20,1116606,0,48102,45563,1075723,375,,15,15,WWW.COMMONWEALTHTHEATRE.ORG
,WALDEN THEATRE CORPORATION,0,0,610902722,26105,118506,1976,71488,0,0,102,139329,338011,357106,4611,,-0.05056167226085576,0,9813,350037,,0.7640791323109428,542863,682775,540488,,,,2014-08-01,2015-07-31,0,368106,396762,0,281617,9,893592,2375,30095,39656,850585,250,2375,26,26,WWW.WALDENTHEATRE.ORG
,,0,0,610902722,27354,102004,1976,48647,0,0,125,86711,331238,338011,2571,,0.009537005354972887,0,11678,224213,,0.8075682960671474,475400,568050,473250,,,,2013-08-01,2014-07-31,0,360741,368106,0,207427,9,703408,2150,29503,30095,710181,420,2150,19,19,WWW.WALDENTHEATRE.ORG
,,,,610902722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clifton Cultural Arts Center,false,0,202383576,127258,124631,2006,118273,false,1,127258,217620,6448386,7044953,,,0.44829303493976086,5600,5075,173192,,0.5385039191575014,143112,391942,148187,,,,2023-01-01,2023-12-31,0,8656096,8367320,false,1043797,12,727835,0,2207710,1322367,1319242,95,0,16,16,www.cliftonculturalarts.org
,Clifton Cultural Arts Center,false,,202383576,42084,116538,2006,134330,false,1,10738,66785,5386587,6448386,,,0.6508907643391741,4000,3979,156072,33333,0.6486343886327464,77091,371266,81070,,,31346,2022-01-01,2022-12-31,0,5406314,8656096,false,1516393,9,572381,0,19727,2207710,1639547,94,0,14,14,www.cliftonculturalarts.org
