GainOrLossGrp_1_SecuritiesAmt,GrossAmountSalesAssetsGrp_1_SecuritiesAmt,IncmFromInvestBondProceedsGrp_1_TotalRevenueColumnAmt,InvestmentIncomeGrp_1_TotalRevenueColumnAmt,LessCostOthBasisSalesExpnssGrp_1_SecuritiesAmt,MiscellaneousRevenueGrp_1_TotalRevenueColumnAmt,NetGainOrLossInvestmentsGrp_1_TotalRevenueColumnAmt,NetIncmFromFundraisingEvtGrp_1_TotalRevenueColumnAmt,NetIncomeFromGamingGrp_1_TotalRevenueColumnAmt,NetRentalIncomeOrLossGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_1_Desc,OtherRevenueMiscGrp_1_TotalRevenueColumnAmt,OtherRevenueMiscGrp_2_Desc,OtherRevenueMiscGrp_2_TotalRevenueColumnAmt,OtherRevenueMiscGrp_3_Desc,OtherRevenueMiscGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_1_Desc,ProgramServiceRevenueGrp_1_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_2_Desc,ProgramServiceRevenueGrp_2_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_3_Desc,ProgramServiceRevenueGrp_3_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_4_Desc,ProgramServiceRevenueGrp_4_TotalRevenueColumnAmt,ProgramServiceRevenueGrp_5_Desc,ProgramServiceRevenueGrp_5_TotalRevenueColumnAmt,RentalIncomeOrLossGrp_1_PersonalAmt,RentalIncomeOrLossGrp_1_RealAmt,RoyaltiesRevenueGrp_1_TotalRevenueColumnAmt,business_name,cost_of_goods_sold,ein,fundraising_amt,fundraising_direct_expenses,fundraising_gross_income,government_grants,gross_sales_of_inventory,membership_dues,non_cash_contributions,other_contributions,other_revenue_total,tax_period_begin,tax_period_end,total_contributions,total_program_service_revenue,total_revenue
0,0,0,3085,0,0,0,0,0,0,0,0,0,0,0,0,ART EDUCATION INCOME,210277,0,0,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,19050,,,222348,,,6092,872712,,2022-07-01,2023-06-30,1095060,210277,1308422
-1566,23724,0,286,25290,0,-1566,0,0,0,OTHER INCOME,3,0,0,0,0,ART EDUCATION INCOME,248239,0,0,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,48357,,,158505,,,1099,530446,3,2021-07-01,2022-06-30,688951,248239,935913
0,0,0,146,0,0,0,0,0,0,OTHER INCOME,1378,0,0,0,0,ART EDUCATION INCOME,149269,0,0,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,46666,,,263063,,,,363500,1378,2020-07-01,2021-06-30,626563,149269,777356
0,0,0,1547,0,0,0,0,0,0,OTHER INCOME,3017,0,0,0,0,ART EDUCATION INCOME,147411,0,0,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,19299,,,,,,,343837,3017,2019-07-01,2020-06-30,343837,147411,495812
0,0,0,3684,0,0,0,202758,0,0,OTHER INCOME,7576,0,0,0,0,ART EDUCATION INCOME,201527,0,0,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,43361,72172,274930,,,,23575,270288,7576,2018-07-01,2019-06-30,270288,201527,685833
0,0,646,0,0,0,0,166174,0,0,OTHER INCOME,5968,0,0,0,0,ART EDUCATION INCOME,129876,ART EXHIBIT SALES,45909,0,0,0,0,0,0,0,0,0,MCLEAN PROJECT FOR THE ARTS,,521374407,925,36677,202851,,,,7668,143259,5968,2017-07-01,2018-06-30,143259,175785,491832
0,0,0,563,0,0,0,-3664,0,0,CC Rewards/Other,1308,0,0,0,0,Art education income,82343,Art exhibit sales,16605,0,0,0,0,0,0,0,0,0,McLean Project for the Arts,,521374407,200681,58315,54651,46188,,3075,9285,192087,1308,2016-07-01,2017-06-30,442031,98948,539186
-770,4293,0,278,5063,0,-770,0,0,0,CC Rewards/Other,561,0,0,0,0,Art classes and tours,123048,Art exhibit sales,13670,0,0,0,0,0,0,0,0,0,McLean Project for the Arts,,521374407,212888,69104,69104,38777,,39340,47025,77186,561,2015-07-01,2016-06-30,368191,136718,504978
0,7833,0,435,7833,0,0,0,0,0,Miscellaneous,2714,0,0,0,0,Art classes and tours,99297,Art exhibit sales,2288,0,0,0,0,0,0,0,0,0,McLean Project for the Arts,,521374407,159810,37222,37222,,,,12323,170231,2714,2014-07-01,2015-06-30,330041,101585,434775
0,0,0,293,0,0,0,0,0,0,Miscellaneous,2879,0,0,0,0,Art classes and tours,108298,Art exhibit sales,4423,0,0,0,0,0,0,0,0,0,,,521374407,225702,47385,47385,,,,20044,168470,2879,2013-07-01,2014-06-30,394172,112721,510065
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,521374407,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,RENTALS,400,CONCESSIONS,155,0,0,PERFORMANCE FEES,34945,0,0,0,0,0,0,0,0,0,0,0,KHMER ARTS ACADEMY,,010740113,1111,,,56300,,,19718,460172,555,2016-01-01,2016-12-31,516472,34945,551972
